# sheet: 국가코드목록
국가코드    국가명
27    27309    기타 광학기기 및 사진기 제조업
27    27400    시계 및 시계부품 제조업
28    28111    전동기 및 발전기 제조업
28    28112    변압기 제조업
28    28113    에너지 저장장치 제조업
28    28114    에너지 저장장치 제조업
28    28119    기타 전기 변환장치 제조업
28    28121    전기회로 개폐, 보호장치 제조업
28    28122    전기회로 접속장치 제조업
28    28123    배전반 및 전기 자동제어반 제조업
28    28201    일차전지 제조업
28    28202    운송장비용 이차전지 제조업
28    28301    광섬유 케이블 제조업
28    28302    기타 절연선 및 케이블 제조업
28    28303    절연 코드세트 및 기타 도체 제조업
28    28410    전구 및 램프 제조업
28    28421    운송장비용 조명장치 제조업
28    28422    일반용 전기 조명장치 제조업
28    28423    전시 및 광고용 조명장치 제조업
28    28429    기타 조명장치 제조업
28    28511    주방용 전기기기 제조업
28    28512    가정용 전기 난방기기 제조업
28    28519    기타 가정용 전기기기 제조업
28    28520    가정용 비전기식 조리 및 난방 기구 제조업
28    28901    전기경보 및 신호장치 제조업
28    28902    전기용 탄소제품 및 절연제품 제조업
28    28903    교통 신호장치 제조업
28    28909    그 외 기타 전기장비 제조업
29    29111    내연기관 제조업
29    29119    기타 기관 및 터빈 제조업
29    29120    유압기기 제조업
29    29131    액체 펌프 제조업
29    29132    기체 펌프 및 압축기 제조업
29    29133    탭, 밸브 및 유사장치 제조업
29    29141    구름베어링 제조업
29    29142    기어 및 동력전달장치 제조업
29    29150    산업용 오븐, 노 및 노용 버너 제조업
29    29161    산업용 트럭 및 적재기 제조업
29    29162    승강기 제조업
29    29163    컨베이어장치 제조업
29    29169    기타 물품 취급장비 제조업
29    29171    산업용 냉장 및 냉동 장비 제조업
29    29172    가정용 및 산업용 공기 조화장치 제조업
29    29173    운송장비용 공기 조화장치 제조업
29    29174    산업용 송풍기 및 배기장치 제조업
29    29175    기체 여과기 제조업
29    29176    액체 여과기 제조업
29    29177    증류기, 열교환기 및 가스발생기 제조업
29    29180    사무용 기계 및 장비 제조업
29    29191    용기 세척, 포장 및 충전기 제조업
29    29192    분사기 및 소화기 제조업
29    29193    동력식 수지공구 제조업
29    29194    동력식 수지공구 제조업
29    29199    그 외 기타 일반목적용 기계 제조업
29    29210    농업 및 임업용 기계 제조업
29    29222    디지털 적층 성형기계 제조업
29    29223    금속 절삭기계 제조업
29    29224    금속 성형기계 제조업
29    29229    기타 가공 공작기계 제조업
29    29230    금속 주조 및 기타 야금용 기계 제조업
29    29241    건설 및 광업용 기계장비 제조업
29    29242    광물처리 및 취급장비 제조업
29    29250    음ㆍ식료품 및 담배 가공기계 제조업
29    29261    산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업
29    29269    기타 섬유, 의복 및 가죽 가공 기계 제조업
29    29271    반도체 제조용 기계 제조업
29    29272    디스플레이 제조용 기계 제조업
29    29280    산업용 로봇 제조업
29    29291    고무, 화학섬유 및 플라스틱 성형기 제조업
29    29292    인쇄 및 제책용 기계 제조업
29    29293    주형 및 금형 제조업
29    29294    주형 및 금형 제조업
29    29299    그 외 기타 특수목적용 기계 제조업
30    30110    자동차용 엔진 제조업
30    30121    내연기관 승용차 및 기타 여객용 자동차 제조업
30    30122    전기 승용차 및 기타 여객용 전기 자동차 제조업
30    30123    내연기관 화물자동차 및 특수목적용 자동차 제조업
30    30201    차체 및 특장차 제조업
30    30203    트레일러 및 세미트레일러 제조업
30    30310    자동차 엔진용 신품 부품 제조업
30    30320    자동차 차체용 신품 부품 제조업
30    30331    자동차용 신품 동력전달장치 제조업
30    30332    자동차용 신품 전기장치 제조업
30    30391    자동차용 신품 조향장치 및 현가 장치 제조업
30    30392    자동차용 신품 제동장치 제조업
30    30393    자동차용 신품 의자 제조업
30    30399    그 외 자동차용 신품 부품 제조업
30    30400    자동차 재제조 부품 제조업
31    31111    강선 건조업
31    31113    기타 선박 건조업
31    31114    선박 구성 부분품 제조업
31    31120    오락 및 스포츠용 보트 건조업
31    31201    기관차 및 기타 철도차량 제조업
31    31202    철도차량 부품 및 관련 장치물 제조업
31    31311    유인 항공기, 항공우주선 및 보조장치 제조업
31    31321    항공기용 엔진 제조업
31    31322    항공기용 부품 제조업
31    31910    전투용 차량 제조업
31    31920    모터사이클 제조업
31    31921    모터사이클 제조업
31    31991    자전거 및 환자용 차량 제조업
31    31999    그 외 기타 분류 안된 운송장비 제조업
32    32011    매트리스 및 침대 제조업
32    32019    소파 및 기타 내장가구 제조업
32    32021    주방용 및 음식점용 목재가구 제조업
32    32029    기타 목재가구 제조업
32    32091    금속 가구 제조업
32    32099    그 외 기타 가구 제조업
33    33110    귀금속 및 관련제품 제조업
33    33209    기타 악기 및 전자 악기 제조업
33    33301    체조, 육상 및 체력단련용 장비 제조업
33    33303    낚시 및 수렵용구 제조업
33    33309    기타 운동 및 경기용구 제조업
33    33401    인형 및 장난감 제조업
33    33402    영상게임기 제조업
33    33409    기타 오락용품 제조업
33    33910    간판 및 광고물 제조업
33    33920    사무 및 회화용품 제조업
33    33991    단추 및 유사 파스너 제조업
33    33992    라이터, 연소물 및 흡연용품 제조업
33    33993    비 및 솔 제조업
33    33999    그 외 기타 제품 제조업
34    34011    건설.광업용 기계 및 장비 수리업
34    34019    기타 일반 기계 및 장비 수리업
34    34020    전기?전자 및 정밀기기 수리업
35    35111    원자력 발전업
35    35112    수력 발전업
35    35113    화력 발전업
35    35114    태양력 발전업
35    35119    기타 발전업
35    35120    송전 및 배전업
35    35130    전기 판매업
35    35200    연료용 가스 제조 및 배관공급업
36    36010    생활용수 공급업
36    36020    산업용수 공급업
37    37011    하수 처리업
37    37012    폐수 처리업
38    38120    지정 폐기물 수집, 운반업
38    38130    건설 폐기물 수집, 운반업
38    38210    지정 외 폐기물 처리업
38    38312    금속류 원료 재생업
39    39009    기타 환경 정화 및 복원업
