# idx	t_seconds	sha1	label
0571	15.022	667ecb73e12c	delta
0572	15.031	0bc09b9fced9	delta
0573	15.043	d4eec032d5d8	delta
0574	15.055	c4d8c9f21bb5	delta
0575	15.069	5f5840b9d0f6	delta
0576	15.074	1d26169afb88	delta
0577	15.086	9de8b049ed7d	delta
0578	15.105	cf958d5c24ac	delta
0579	15.122	5d270f6e9994	delta
0580	15.126	49bb8490e2d6	delta
0581	15.138	fd0616ee5d28	delta
0582	15.153	65beeca5b2c3	delta
0583	15.168	1e2f76092625	delta
0584	15.185	bf6c3825eef5	delta
0585	15.204	36c24af031f0	delta
0586	15.218	c7201ba88989	delta
0587	15.231	f11fad2c1592	delta
0588	15.234	19013a9f0ed4	delta
0589	15.251	41da25cc97b1	delta
0590	15.261	12d7b8b668e8	delta
0591	15.278	6271d0a3da6a	delta
0592	15.292	305dc78fb716	delta
0593	15.312	73f53462236e	delta
0594	15.312	f9a3f1a131c6	delta
0595	15.321	32322d8c7d95	delta
0596	15.334	07ca12257b43	delta
0597	15.334	47a3b8dc7189	delta
0598	15.343	987149c1a138	delta
0599	15.360	fde7e78f4fbd	delta
0600	15.378	2cbdf11a309c	delta
0601	15.388	bf7aeb88a2ca	delta
0602	15.406	c3d40f9fb887	delta
0603	15.418	7ec74bf37ebe	delta
0604	15.433	e039fcf4a3ea	delta
0605	15.493	6521ad3ad36f	delta
0606	15.531	3eb0faf04b95	delta
0607	15.542	caab4af3ca16	delta
0608	15.547	eeb21755a550	delta
0609	15.559	11ad0e8d04b9	delta
0610	15.575	210037ee2249	delta
0611	15.592	5f4bfc969ea6	delta
0612	15.599	c7917d7ab1d8	delta
0613	15.609	f4c59bfad469	delta
0614	15.627	54df404de6fd	delta
0615	15.652	f35d49b6ff5a	delta
0616	15.664	09a2d37d3c38	delta
0617	15.674	64975d96b3c7	delta
0618	15.686	231223e72fc7	delta
0619	15.695	938db6e82be8	delta
0620	15.708	49e817f08bd0	delta
0621	15.711	588dd25d183c	delta
0622	15.721	cbd889665fa1	delta
0623	15.721	344748e5a584	delta
0624	15.740	eec3ba2ed1f6	delta
0625	15.755	d142a1d01db9	delta
0626	15.765	fcbb09a68675	delta
0627	15.777	4b0f5f30aa76	delta
0628	15.786	8232f46609b0	delta
0629	15.803	99c95c0dd0a0	delta
0630	15.820	c5f46e9d1367	delta
0631	15.833	5aea185713fa	delta
0632	15.843	470987100c01	delta
0633	15.856	8fb1fd854112	delta
0634	15.866	f4285201e03d	delta
0635	15.878	0303abb2e885	delta
0636	15.887	8161f2dd8a79	delta
0637	15.901	f888e94b790a	delta
0638	15.916	77e84ab26c3a	delta
0639	15.930	8a20e034cc4c	delta
0640	15.940	347e11579b98	delta
0641	15.956	48331bdb3d5b	delta
0642	16.033	d1bea1e71105	delta
0643	16.058	276b8a08fb1d	delta
0644	16.069	d095e545854d	delta
0645	16.069	0129dd03cae1	delta
0646	16.083	ba2221daed57	delta
0647	16.093	d95794e3c63f	delta
0648	16.107	3a62b6795485	delta
0649	16.125	8e4e76ed9349	delta
0650	16.143	1c13fcd77756	delta
0651	16.160	a036bdcd521e	delta
0652	16.172	c0907bc4e527	delta
0653	16.188	581a358f5872	delta
0654	16.205	8af876b53056	delta
0655	16.220	9eb052ad36b9	delta
